emergency,unable to sit due to sticky stains on berth. PNR no . do help immediately
emergency,pnr no need mdical emergency.having blood vomits
emergency,"mobile stolen , need emergency help to track it pnr"
emergency,"no water supply in basins for the hast hours,contacted tt but all in vain pnr no"
emergency,"fan isnt working for the last hours at the time of peak summer, do help pnr"
emergency,paid for ac but feeling the hotness of railways negligence. Attention needed immediately pnr
emergency,"big mouse found below the berth,plz help. Cant sleep pnr"
emergency,hanging chains of the middle berth broken pnr
emergency,"aggressive copassengers, need of immediate change of seat pnr"
emergency,"having ticket conflict, contacted ticket collecter, but all I vain. Pnr"
emergency,"found a bag with no owner, police not taking any action pnr"
emergency,"finger brokenof my frnd by falling from upper berth, cannot find any medical assistance pnr"
emergency,"the whole berth area shatterd with the peels of various organics ,need immediate cleanup pnr"
emergency,"bags stolen ,1 mine and of my copassenger having imp documents pnr"
emergency,no water supply in washrooms for the last hours pnr
emergency,"pnr fan chocked, repairmen came bt couldnt fix it summer"
emergency,ac blowing warm air feeling to die in this closed compartment
emergency,"pnr mosquitoes flis hovering , pls do some cleanup, tt not responding positively"
emergency,torn seat pnr filthy environment need some action to be taken
emergency,"copassenger playing loud music , not obeying the tt too, sort it out pnr"
emergency,"tt declining to accept the college id a true id , higher authorities do act pnr"
emergency,"found a fun, we passengers couldn’t differentiate b/w a real and a toy pnr"
emergency,pantry officials billing us double than printed . All complaints in vain pnr
emergency,many passengrs pnr feeling stomach upset after dinner frm railways pantry
emergency,"train diverted from its actual route , no knowlwdge of where the fuck are we being taken.track us pnr"
emergency,"train is at halt for the last hrs amidst of jungle, wt the fkk is happening??? pnr"
emergency,"pregnant lady needs the help of some lady doctor immediately, her pnr"
emergency,"charger points of the complete bogie malfunctioning, need immediate attention pnr"
emergency,a sweeper supposed to be thief but the matter is out of the passengers cntrl pnr
emergency,"window pane jammed winter, bone freezing cold pnr"
emergency,"fan's speed not decreasing , we need help pnr"
emergency,"acs not working ,pnr , tt not responding positivelt, what do we pay for"
emergency,"berth env is quite unhygenic, insects wandering here n there pnr"
emergency,"unremoved heavy bedrolls , stinky smell pnr , emergency cleanup reqd"
emergency,"two copassengers fought brutally, got a head injury.emergency!! His pnr"
emergency,Kindly send anyone railway staff to attend
emergency,plz continue train no -14308
feedback,: Why is procuring Congress mouthpiece National Herald (priced a hefty Rs. /piece) &amp; providing it to…
emergency,"Dear Sir, my father is a senior citizen and is a patient too.Travelling alone and his seat is not confirmed but is having RAC."
feedback,paise legally sahi daam pe bech ke bhi kamay jaa sakte hai.
feedback,If a person buys ticket online and if its not confirmed then why that ticket is not a v…
feedback,till now no action has been taken
feedback,In such cases what is the way out. Please suggest solutions
feedback,: DERYK (Dragon Hearts )…
feedback,"this winter no fog now a days, still so late trains. It looks staff…"
emergency,"train no , b10,23 .here water is leaking from AC. Please do the needful."
emergency,Train has departed Varanasi and will be reaching Chunar in few minutes and then Mirzapur.
emergency,Thanks for the reply ... PNR-4138201979.
feedback,": All commodities have registered robust growth with steel at %, cement %, containers %, iron ore % and coal …"
emergency,"sorry for inconvenience ,matter noted to"
emergency,please help. His PNR number is
feedback,Check out Thief Catcher on The Prolific Reader!
emergency,National Train enquiry system is not updating Localtrain running info properly …
emergency,Kindly share PNR number. Matter forwarded to the concerned officials
emergency,sir..the train status is bit confusing..
emergency,Train has been at a halt since mins at Hazrat Nizamudd…
emergency,"ajmer e Some people sleeping in local coash senior citizen, ladies many people standing"
emergency,": Glad to inform &amp; confirmed from multiple sources, the newspaper was not distributed by railways officially, but cou…"
emergency,: National Train enquiry system is not updating Localtrain running info properly …
emergency,standard meals charging Rs in train .my pnr no
feedback,If u want ticket print i can DM to u for PNR etc.?U can also check whether refund has been processed to…
emergency,Sorry for inconvenience complaint will be attend at ITARSI
emergency,Details not available pls.
emergency,: Add to your TBR shelf! …
emergency,train stops at thane or not please reply
emergency,Matter informed to concern officials .Regards
feedback,: Why is procuring Congress mouthpiece National Herald (priced a hefty Rs. /piece) &amp; providing it to…
feedback,ajmer e Some people sleeping in local…
emergency,Official concerned has been advised to look into this
emergency,ajmer e Some people sleeping in local coa…
feedback,"Please take up my case too, I just cant keep calling on the IRCTC number that doesn't get connected"
emergency,matter is fwd to the
feedback,: Why is procuring Congress mouthpiece National Herald (priced a hefty Rs. /piece) &amp; providing it to…
emergency,The train has stoped at navsari platform but no one is here to see
emergency,kindly look into this
